,id,nama,badge,link,harga,diskon,harga_asli,gambar,review_count,review_avg
246,11233379203,"ACER LAPTOP ASPIRE 5 A514-56P-57Q8 14"" I5-1335U RAM 8GB 512GB SSD W11",Official Store,https://www.tokopedia.com/acerstoreofficial/acer-laptop-aspire-5-a514-56p-57q8-14-i5-1335u-ram-8gb-512gb-ssd-w11?extParam=whid%3D13056835,Rp 8.999.000,17,Rp 10.799.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/8/17/13042d22-1f33-4d87-9278-1870c1588cb6.jpg,1,
247,11051638355,ACER SWIFT GO 14 OLED SFG14-71-76DC 14 INTEL GEN 13 i7-13700H 16GB 1TB,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-swift-go-14-oled-sfg14-71-76dc-14-intel-gen-13-i7-13700h-16gb-1tb?extParam=whid%3D2155150,Rp 15.999.000,13,Rp 18.399.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/9/6/5f162348-5bce-4074-8174-f77d193552aa.jpg,0,
248,11051611762,ACER SWIFT GO 14 OLED SFG14-71-59WX 14 INTEL GEN 13 i5-13500H 16G 512G,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-swift-go-14-oled-sfg14-71-59wx-14-intel-gen-13-i5-13500h-16g-512g?extParam=whid%3D2155150,Rp 13.499.000,16,Rp 16.029.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/9/6/5e9c0119-64df-48a5-b4ed-fb3a11060e8f.jpg,0,
249,10996458120,ACER MONITOR 27 INCH ACER NITRO VG271U_M3 | 2K 180HZ,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-monitor-27-inch-acer-nitro-vg271u-m3-2k-180hz?extParam=whid%3D2155150,Rp 4.199.000,14,Rp 4.890.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/8/2/e245a29f-aa24-408d-b7fe-70e048e9922c.jpg,0,
250,10996429152,ACER MONITOR ACER 27 INCH NITRO VG270_M3 | FHD 180HZ,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-monitor-acer-27-inch-nitro-vg270-m3-fhd-180hz?extParam=whid%3D2155150,Rp 3.249.000,14,Rp 3.790.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/8/2/6485f64c-3251-48f1-9f06-169a82a66381.jpg,0,
251,10996376291,ACER MONITOR 23.8 INCH ACER NITRO QG240Y_S3 | FHD 180HZ,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-monitor-23-8-inch-acer-nitro-qg240y-s3-fhd-180hz?extParam=whid%3D2155150,Rp 1.899.000,14,Rp 2.220.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/8/2/68218a66-93ab-470b-8103-77ed4007dd96.jpg,1,
252,10913871518,ACER LAPTOP ASPIRE 3 A314-36M-36ZH 14FHD INTEL i3-N305 RAM 8G 512G SSD,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-laptop-aspire-3-a314-36m-36zh-14fhd-intel-i3-n305-ram-8g-512g-ssd?extParam=whid%3D13056835,Rp 6.499.000,24,Rp 8.499.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/8/17/90d668c3-f193-4067-b187-305a73261701.jpg,4,
253,10872030309,ACER LAPTOP ASPIRE 3 A314-36M-35B3 14FHD INTEL i3-N305 RAM 8G 512G W11,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-laptop-aspire-3-a314-36m-35b3-14fhd-intel-i3-n305-ram-8g-512g-w11?extParam=whid%3D13056835,Rp 6.499.000,24,Rp 8.499.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/8/17/b0430b25-6dd3-4512-9a0e-85ac95385d80.jpg,6,
254,10871898908,"ACER SWIFT GO SFG14-41-R9YR 14"" FHD R5-7530U RAM 16G ROM 512G SSD W11",Official Store,https://www.tokopedia.com/acerstoreofficial/acer-swift-go-sfg14-41-r9yr-14-fhd-r5-7530u-ram-16g-rom-512g-ssd-w11?extParam=whid%3D2155150,Rp 9.999.000,27,Rp 13.649.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/8/31/93efb0ca-d591-4ec7-8cf2-e88597f399c1.jpg,2,
255,10871781702,ACER LAPTOP NITRO 16 AN16-41-R5N2 16 AMD R7-7735HS 16GB 512GB RTX4050 ,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-laptop-nitro-16-an16-41-r5n2-16-amd-r7-7735hs-16gb-512gb-rtx4050?extParam=whid%3D2155150,Rp 18.499.000,5,Rp 19.499.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/8/15/6dd88ec4-cf58-4144-9b94-0db1fa799637.jpg,2,
256,10807247137,ACER ASPIRE 3 A314-22-R1GA_SSD 14 R3-3250 RAM 4GB ROM 256GB W11 BLK,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-aspire-3-a314-22-r1ga-ssd-14-r3-3250-ram-4gb-rom-256gb-w11-blk?extParam=whid%3D2155150,Rp 5.499.000,17,Rp 6.599.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/8/12/f2cdfb30-df2b-46f5-8eab-7141a0717037.jpg,0,
257,10567637877,ACER DESKTOP NITRO N50-650 INTEL i7-13700 16G 1TB+512G RTX3060 WIN 11,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-desktop-nitro-n50-650-intel-i7-13700-16g-1tb-512g-rtx3060-win-11?extParam=whid%3D2155150,Rp 25.999.000,16,Rp 30.899.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/7/7/eb799f44-9654-4bc3-a462-a3d171712a55.jpg,0,
258,10216924915,ACER MONITOR 23.8 inch K243Y_E | 100Hz,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-monitor-23-8-inch-k243y-e-100hz?extParam=whid%3D2155150,Rp 1.625.000,16,Rp 1.940.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/6/16/c9d7e699-20f2-4b96-9ab9-1a8ae1cf6cb9.jpg,3,
259,10112371596,ADD ON - SAMSUNG RAM SODIMM DDR4 3200,Official Store,https://www.tokopedia.com/acerstoreofficial/add-on-samsung-ram-sodimm-ddr4-3200-4gb-bef9d?extParam=whid%3D2155150,Rp 225.000,0,,https://images.tokopedia.net/img/cache/300-square/hDjmkQ/2023/6/13/87c801b7-7b4d-4541-a977-4c997bf4c405.jpg,0,
